,indonesian,javanese
5065,"Iya, Kakang. Lantas? Jawab Dewi Ayu dengan bertanya kepada Dewa Gajayana dengan mendesak tidak sabar.","Inggih, Kakang. Lajeng? Wangsule Dewi Ayu karo takon marang Dewa Gajayana kanthi ndhesek ora sabar."
5066,Ya karena itu aku meminta maafmu.,Ya amarga kuwi aku njaluk pangapuramu.
5067,"Mohon maaf untuk apa, Kangmas.","Nyuwun pangapunten kangge menapa, Kangmas."
5068,Anda salah apa kepada saya?,Panjenengan salah menapa dateng kula?
5069,"Aku merasa salah karena aku sudah membatalkan pernikahan kita, sehinggs dirimu dadi sedih seperti begini.","Aku rumongso salah amarga aku wis wurungake nikahan kita, saenggo awakmu dadi sedhih kaya ngene."
5070,"Kangmas, jangan mengatakan seperti itu.","Kangmas, ampun ngendikan mekaten."
5071,Sekarang anda mempunyai kewajiban ikut menjaga kerajaan Klungkung dari serangan musuh.,Sak menika panjenengan nembhe kajibah ndherek njagi kerajaan Klungkung saking seranganipun mungsuh.
5072,"Maka, kewajiban saya harus mendukung semua itu.","Pramila, kewajiban kula kedah ndukung sedaya menika."
5073,Ucap Dewi Ayu dengan meneteskan air dari matanya.,Ature Dewi Ayu karo netesake luh saka mripate.
5074,"Nimas, aku senang sekali setelah mendengar ucapanmu itu.","Nimas, aku bungah banget sak wise krungu aturmu kuwi."
5075,Sekarang izinkan aku kembali ke tempat pertempuran membantu teman-teman yang sedang mati-matian membela Kerajaan Klungkung.,Saiki ijinake aku bali neng papan palangan ngrewangi kanca-kanca sing padha mati-matian mbelani Kerajaan Klungkung.
5076,"Aku meminta doamu mudah-mudahan aku bisa kembali dengan selamat, bisa ketemu lagi dengan dirimu dan kita akan nikah secepatnya.","Aku njaluk pandongamu muga-muga aku bisa bali kanthi slamet wilujeng, bisa ketemu maneh karo awakmu lan kita bakal nikah sak cepete."
5077,"Iya, Kangmas. Saya selalu mendoakan mudah-mudahan anda diberi kekuatan yang lebih oleh Yang Kuasa.","Inggih, Kangmas. Kula tansah ndhedonga mugi-mugi panjenengan diparingi kakuwatan ingkang linuwih dening Kang Kuwasa."
5078,"Tanpa menunggu lama, Dewa Gajayana kemudian berpamitan menuju tempat pertempuran meneruskan memberikan bantuan kepada para pasukan Klungkung yang masih perang melawan musuh dari Tanah Jawa itu.","Tanpo ngenteni suwe, Dewa Gajayana banjur pamitan tumuju papan palagan nerusake anggone aweh bantuan marang para pasukan Klungkung sing isih padha perang nglawan mungsuh saka Tanah Jawa kuwi."
5079,"Setelah Dewa Gajayana, Dewi Ayu masih berdiri memandang perginya Dewa Gajayana sehingga hilang di balik pohon besar yang ada di belokan jalan depan pendopo, semakin deras air yang menetes di pipi halusnya Dewi Ayu.","Sak pungkure Dewa Gajayana, Dewi Ayu isih ngadeg mandheng lungane Dewa Gajayana saenggo ilang ana ing sak walike wit gedhe sing ana neng pekengan dalan ngarep pendapa, saya banter luh sing netes neng pipi aluse Dewi Ayu."
5080,"Di dalam hati, tidak putus-putus olehnya Dewi Ayu memohon kepada Gusti Yang Maha Kuasa supaya pria yang dicintai dan pasukannya bisa kembali dengan selamat dan membawa kemenangan.","Ing sajroning ati, ora pedhot-pedhot olehe Dewi Ayu nyenyuwun marang Gusti Kang Murbehing Dumadi supaya pria sing ditresnani lan wadya balane bisa bali kanthi slamet lan nggawa kamenangan."
5081,Gusti Putri. Panggil Made Darmi.,Gusti Putri. Panyeluke Made Darmi.
5082,"Merasa kalau panggilannya yang pertama itu tidak dianggap oleh Dewi Ayu, Made Darmi kemudian mengulangi panggilannya.","Rumongso yen panyeluke sing pisanan mau ora dianggep dening Dewi Ayu, Made Darmi banjur mbaleni panyeluke."
5083,"Gusti Putri, jangan melamun di situ.","Gusti Putri, ampun nglamun wonten mriku."
5084,Ayo duduk disini sambil minum teh hangat ini.,Monggo lenggahan mriki sinambhi ngunjuk teh anget menika.
5085,Ucapan Made Darmi sambil meletakkan nampan yang isinya minuman hangat dengan makanan di atas tikar di pendopo sana.,Pambagene Made Darmi sinambhi nyelehake nampan sing isine wedang anget karo panganan neng dhuwure gelaran ing pendapa kana.
5086,"Iya, Bik. Jawab Dewi Ayu dengan berjalan mendekat.","Iya, Bik. Wangsulane Dewi Ayu karo mlaku nyedhak."
5087,"Gusti Putri, yang dibutuhkan oleh kerajaan Klungkung sekarang tidak ada lain selain doa, maka anda saya mohon jangan melamun terus seperti itu.","Gusti Putri, ingkang dipun betahaken dening kerajaan Klungkung sak menika boten wonten sanesipun kejawi donga, pramila panjenengan kula suwun ampun nglamun terus kados mekaten."
5088,Made Darmi memberi semangat kepada Dewi Ayu.,Made Darmi aweh semanget marang Dewi Ayu.
5089,"Benar, Bik. Tidak ada gunanya aku sedih terus-terusan, lebih baik aku harus memperbanyak doa kepada Yang Maha Agung supaya keadaan ini bisa cepat selesai.","Bener, Bik. Ora ana gunane aku sedhih terus-terusan, luweh becik aku kudu ngakehake ndonga marang Kang Maha Agung supaya kahanan iki bisa cepet rampung."
5090,Made Darmi mengangguk.,Made Darmi manthuk.
5091,"Itu lebih baik, Gusti Putri.","Menika langkung sae, Gusti Putri."
5092,Moga-moga Klungkung bisa memenangi pertempuran ini.,Mugi-mugi Klungkung bisa menangake palagan menika.
5093,"Iya Bik, mudah-mudahan.","Iya Bik, muga-muga."
5094,Angin sore berhembus semakin kencang.,Angin sore temiup sansaya banter.
5095,Suasananya berubah agak gelap karena matahari sudah tenggelam.,Swasanane maleh radha peteng amarga srengengene wis ambles.
5096,"Gusti Putri, mari saya antar masuk! Made Darmi menarik halus tangannya Dewi Ayu.","Gusti Putri, monggo kula dherekaken mlebet! Made Darmi nggeret alus tangane Dewi Ayu."
5097,Tanpa kebanyakan bicara Dewi Ayu kemudian mengikuti Made Darmi masuk ke kaputren.,Tanpo kekahen omong Dewi Ayu banjur nuruti Made Darmi mlebu neng kaputren.
5098,Kerajaan Klungkung Kalah.,Kerajaan Klungkung Kalah.
5099,"Sudah ada sebulanan pertempuran diantara kerajaan dari Tanah Jawa dan Kerajaan Klungkung, kedudukannya sama.","Wis ana sesasinan palagan antarane kerajaan saka Tanah Jawa lan Kerajaan Klungkung, kadudukane bedhu."
5100,"Kekuatannya pasukan kerajaan dua itu sama kuatnya, sudah banyak korban dari kerajaan dua tersebut.","Kakuwatane pasukan kerajaan loro kuwi padha kuwate, wis akeh korban saka kerajaan loro kasebut."
5101,"Mulai dari nyawa, harta, tenaga dan pikiran.","Wiwit saka nyawa, bondho, tenaga lan pikiran."
5102,Dewa Gajayana ketika itu memang berjuang mati-matian.,Dewa Gajayana nalika kuwi pancen berjuwang mati-matian.
5103,Dirinya tidak mau kalah sebelum menetes darah yang penghabisan.,Dheweke ora gelem kalah sak durunge netes getih sing pungkasan.
5104,"Sehingga sampai suatu saat, ketika itu pasukan Blambangan sudah kelihatan terdesak banyak para prajuritnya yang berlari menyelamatkan siri di dalam hutan yang tidak jauh dari tempat pertempuran sana.","Saeggo tekan sawijine wektu, nalika kuwi pasukan Blambangan wis katon kedhesek akeh para prajurite sing padha keplayu nyelametake awak neng njero alas sing ora adoh saka papan palagan kana."
5105,Akhirnya Dewa Gajayana bisa mengalahkan pasukan dari Blambangan dengan usaha yang sangat melelahkan.,Wusanane Dewa Gajayana bisa ngalahake pasukan saka Blambangan kanthi usaha sing banget ngeselake.
5106,"Sementara itu di keraton Klungkung, Dewi Ayu mondar-mandir bolak-balik karena menunggu kabar dari medan pertempuran.","Sak wetara kuwi ana ing kraton Klungkung, Dewi Ayu midhar-midher bola-bali amarga ngenteni kabar saka papan palagan."
5107,Dirinya khawatir sekali nanti kalau ada apa-apa dengan Dewa Gajayana.,Dheweke kuwatir banget mengko yen ana apa-apa karo Dewa Gajayana.
5108,Sehingga ada seorang dayang yang mengetuk pintu kamarnya.,Saenggo ana sawijine dayang sing nothok lawang kamare.
5109,Permisi. Terdengar suara dari luar kamar.,Sampurasun. Krungu swara saka njaba kamar.
5110,Silahkan. Dewi Ayu menjawab dari dalam kamar.,Rampes. Dewi Ayu mangsuli saka njero kamar.
5111,"Setelah pintu terbuka, Dewi Ayu kemudian keluar dari kamar.","Sak wise lawang kabukak, Dewi Ayu banjur metu saka kamar."
5112,Di depan pintu kamar sudah ada seorang dayang yang ingin melapor.,Ing ngarep lawang kamar wis ana sawijine dayang sing arep nglapur.
5113,"Ada apa, Bik?","Ana apa, Bik?"
5114,"Mohon maaf, Gusti Putri.","Nyuwun pangapunten, Gusti Putri."
5115,Saya mau memberi tahu bahwa pasukan Klungkung yang dpimpin oleh Senapati Dewa Gajayana sudah menyelesaikan pertempuran itu.,Kula badhe ngaturi uninga bilih pasukan Klungkung ingkang kapimpin dening Senapati Dewa Gajayana sampun ngrampungi palagan menika.
5116,Jadi kangmas Dewa Gajayana menang?,Dadi kangmas Dewa Gajayana menang?
5117,"Iya, benar Gusti Putri.","Inggih, leres Gusti Putri."
5118,"Tanpa bisa menahan rasa gembiranya, Dewi Ayu kemudian melompat-lompat senang.","Tanpo bisa ngampet sara bungahe, Dewi Ayu banjur jingkrak-jingkrak seneng."
5119,Para dayang yang melihat tingkahnya Dewi Ayu itu ikut senang karena junjungannya sudah tidak sedih seperti biasanya.,Para dayang sing weruh tingkahe Dewi Ayu kuwi melu bungah amarga junjungane wis ora sedhih kaya biasane.
5120,"Memang benar, setelah mendengar kabar kalau pasukan Klungkung bisa menang melawan pasukan Blambangan, wajahnya Dewi Ayu jadi bahagia.","Pancen bener, sak wise krungu kabar yen pasukan Klungkung bisa menang nglawan pasukan Blambangan, praupane Dewi Ayu dadi sumringah."
5121,Mulai saat itu dirinya tidak sabar menunggu datangnya Dewa Gajayana.,Wiwit wektu kuwi dheweke ora sabar ngenteni tekane Dewa Gajayana.
5122,Dirinya membayangkan Dewa Gajayana datang dengan wajah yang bahagia karena sudah menang peperangan.,Dheweke mbayangake Dewa Gajayana teka kanthi praupan sing sumringah amarga wis menangake peperangan.
5123,"Sementara itu, di pinggiran pantai Gilimanuk, kelihatan Dewa Gajayana duduk di atas pasir putih menghadap barat.","Sak wetara kuwi, ana ing pinggirane pantai Gilimanuk, katon Dewa Gajayana lenggah ing dhuwure pasir putih madhep ngulon."
5124,Di sana dirinya nebgucap syukur kepada Yang Maha Kuasa karena sudah memberi kemenagan kepada dirinya.,Ing kana dheweke muji syukur marang Sang Hyang Widhi amarga wis maringi kemenagan marang dheweke.
5125,"Senapati Gajayana, anda sekarang di minta datang ke tempat Pangeran Anak Agung Begawanta.","Senapati Gajayana, panjenengan sak menika dipun aturi sowan dateng ngarsane Pangeran Anak Agung Begawanta."
5126,Ucap seorang pegawai.,Ature sawijine punggawa.
5127,"Iya, sebentar lagi aku akan pergi kesana. Jawab Dewa Gajayana.","Iya, sadela maneh aku ndak sowan mrana. Wangsulane Dewa Gajayana."
5128,"Iya, kalau begitu saya permisi dulu.","Inggih, menawi mekaten kula pareng rumiyin."
5129,Punggawa itu kemudian pamit pergi dari sana setelah mengucap salam penghormatan.,Iya.
5130,Tidak menunggu lama Senapati Dewa Gajayana sudah ada di depan tenda tempat Pangeran Anak Agung Begawanta.,Punggawa kuwi banjur pamitan lunga saka kana sak wise ngaturake sembah pangurmatan.
5131,"Pangeran, Saya Gajayana, mau pergi mengahadap anda.",Ora nganti suwe Senapati Dewa Gajayana wis ana ing ngarep tenda panggonane Pangeran Anak Agung Begawanta.
5132,Suaranya Gajayana dari luar tenda.,Swarane Gajayana saka njabane tenda.
5133,"Iya, Dewa. Masuklah.","Iya, Dewa. Mlebuha."
5134,Setelah Dewa Gajayana sampai didalam.,Sak Wise Dewa Gajayana tekan njero.
5135,"Sini, sini Dewa, duduk si sini.","Kene, kene Dewa, lenggah neng kene."
5136,Sambut sang Pangeran.,Pambagene sang Pangeran.
5137,"Nampak dari wajahnya Sang Pangeran kalau dirinya senang sekali dengan calon iparnya itu, karena bisa berhasil menang melawan penjajah dari Tanah Jawa.","Katon saka praupane Sang Pangeran yen dheweke bungah banget karo bakal ephene kuwi, amarga bisa kasil menang nglawan penjajah saka Tanah Jawa."
5138,"Dewa, aku senang sekali dengan kamu, karena kamu sudah berhasil di dalam pertempuran ini.","Dewa, aku bungah banget karo kowe, amarga kowe wis kasil ing sajroning palagan iki."
5139,"Ah, Pangeran. Itu cuma kebetulan, tanpa doa para warga dan izin Yang Maha Kuasa, saya tidak mungkin dapat menang.","Ah, Pangeran. Manika namung keleresan, tapi pandonganipun para warga lan kersanipun Kang Maha Kuwasa, kula boten mungkin saget menang."
5140,Jawab Dewa Gajayana mantap.,Wangsulane Dewa Gajayana mantep.
5141,"Kamu itu, Dewa. Seneng kalau merendahkan diri.","kowe kuwi, Dewa. Seneng yen kon ngasorake awak."
5142,Sampai sini Sang pangeran menarik nafas.,Tekan kene Sang pangeran unjal ambegan.
5143,"O, iya, Dewa. Adikku, Dewi Ayu sudah tidak sabar menunggu kedatanganmu.","O, iya, Dewa. Adhiku, Dewi Ayu wis ora sabar ngenteni tekamu."
5144,Aku mendengar ini dari seorang prajurit yang ku utus melihat keadaan Klungkung.,Aku krungu iki saka sawijine prajurit sing ndak utus ndhelok kahanane Klungkung.
5145,"Iya, Pangeran. Rasanya saya ingin cepat-cepat pulang ke keraton sekarang, sebab saya sudah janji dengan Dewi Ayu.","Inggih, Pangeran. Raosipun kula pingin enggal-enggal wangsul wonten kraton sak menika, amargi kula sampun janji kaliyan Dewi Ayu."
5146,"Janji? Jika aku boleh tau, janji apa itu?","Janji? Yen aku oleh ngerti, janji apa kuwi?"
5147,Tanya Sang Pangeran ingin tahu.,Pitakone Sang Pangeran kepingin ngerti.
5148,"Saya pernah janji dengan Dewi Ayu, jika kalu sudah selesai saya berjuang membela kerajaan Klungkung, saya akan cepat pulang dan menikahi Dewi Ayu.","Kula nate janji kaliyan Dewi Ayu, bilih menawi sampun rampung kula berjuwang mbela kerajaan Klungkung, kula bakal enggal wangsul lan nikahi Dewi Ayu."
5149,"Begitu. Yasudah, sekarang perintahkan prajurit supaya cepat kembali ke Klungkung.","Ngana. Yawis, saiki prentahake prajurit supaya enggal bali menyang Klungkung."
5150,Nanti akan kita adakan pesta besar untuk merayakan kemenangan kita ini.,Mengko bakal kita anakake pesta gedhen kanggo mahargya kemenangan kita iki.
5151,"Iya, Pangeran.","Sendika, Pangeran."
5152,"Tanpa membuang waktu lagi, pagi itu juga Dewa Gajayana kemudian memerintahkan para prajurit supaya cepat-cepat mengemas semua peralatan tenda atau peralatan lainnya, sebelum sore pasukan sudah harus sampai Klungkung.","Tanpo mbuwang wektu maneh, esuk kuwi uga Dewa Gajayana banjur mrentahake para prajurit supaya cepet-cepet mbenahi kabeh perkakas tenda utawa perkakas liyane, sak durunge sore pasukan wis kudu tekan Klungkung."
5153,"Setelah selesai mengemas semua peralatan tadi, rombongan kemudian berangkat menuju keraton Klungkung.","Sak wise rampung mbenahi kabeh perkakas mau, rombongan banjur mangkat tumuju kraton Klungkung."
5154,"Sekitar lima jam rombongan itu berjalan, mendadak ada seorang pegawai yang melaporkan kalau dari arah timur ada pasukan besar berjalan menuju Klungkung, pasukan itu membawa senjata lengkap.","Adikara limang jam rombongan kuwi mlaku, dumadaan ana sawijine punggawa sing nglapurake yen saka arah wetan ana pasukan gedhe mlaku tumuju Klungkung, pasukan kuwi nggawa gaman komplit."
5155,"Nampak dari umbul-umbul bendera yang dibawa, rombongan prajurit itu dari kerajaan Blambangan yang akan memberikan bantuan kepada pasukannya yang sudah kalah.","Katon saka umbul-umbul gendera sing digawa, rombongan prajurit kuwi saka kerajaan Blambangan sing arep aweh bantuan marang wadya balane sing wis kalah."
5156,Akhirnya rombongan pasukan berhenti.,Wusana rombongan pasukan mandheg.
5157,Gawat segawat-gawatnya Gusti! Gawat!,Gawat maliwat-liwat Gusti! Gawat!
5158,Teriak seorang pegawai dengan terengah-engah.,Pambengoke sawijine punggawa karo menggeh-menggeh.
5159,"Pelan, prajurit. Ada apa? Ngomong!","Alon, prajurit. Ana apa? Ngomong!"
5160,Jawab Sang Pangeran.,Wangsulane Sang Pangeran.
5161,"Pasukan dari Blambangan datang lagi, Gusti.","Pasukan saking Blambangan dumugi malih, Gusti."
5162,Malah sekarang lebih banyak daripada kala kemarin.,Malah sak menika langkung kathah tinimbang kala wingenane.
5163,Kok cepat sekali pasukan Blambangan itu sampai sini.,Kok cepet banget pasukan Blambangan kuwi tekan kene.
5164,"Tanpa menunggu lama, Pangeran Anak Agung Begawanta kemudian memerintahkan Senapati Dewa Gajayana supaya menghadang pasukan itu supaya jangan sampai menyerang ke Klungkung.","Tanpo ngenteni suwe, Pangeran Anak Agung Begawanta banjur mrentahake Senapati Dewa Gajayana supaya ngadhang pasukan kuwi supaya aja nganthi nyerang neng Klungkung."
5165,"Setelah paham apa yang diperintah oleh Sang Pangeran, Senapati Gajayana dan pasukannya kemudian memacu kudanya menghadang pasukan dari Blambangan yang semakin mendekati wilayah Klungkung.","Sak wise paham apa sing diperintah dening Sang Pangeran, Senapati Gajayana lan pasukane banjur nggebrak jarane ngadhang pasukan saka Blambangan sing saya nyedhaki wilayah Klungkung."
5166,Sementara Sang Pangeran Anak Agung Begawanta dengan prajurit berjumlah enam mengambil jalan kembali ke Klungkung untuk memberi kabar dan menyiapkan pasukan cadangan untuk membantu Senapati Gajayana.,Sak wetara Sang Pangeran Anak Agung Begawanta karo prajurit cacah enem medot dalan bali menyang Klungkung kanggo aweh kabar lan nyiapake pasukan cadangan kanggo mbantu Senapati Gajayana.
5167,Tidak sampai lama Senapati Gajayana sudah berhadap-hadapan dengan pasukan baru dari Blambangan.,Ora nganthi suwe Senapati Gajayana wis adhep-adhepan kaliyan pasukan anyar saka Blambangan.
5168,"Orang asing, siapa kamu! Apa tujuanmu kesini!","Kisanak, sapa kowe! Apa tujuanmu mrene!"
5169,Tanya Dewa Gajayana.,Pitakone Dewa Gajayana.
5170,Aku Banterang Putra. Putra Prabu Watu Gumalang dari Blambangan.,Aku Banterang Putra. Putra Prabu Watu Gumalang saka Blambangan.
5171,Jawab sorang pemuda tampan yang memimpin pasukan itu.,Wangsulane sawijine kanoman bagus sing mimpin pasukan kuwi.
5172,He! Banterang! Baiknya kamu dan pasukanmu kembali saja ke Blambangan kalau kamu semua ingin selamat!,He! Banterang! Becik kowe lan pasukanmu balik wae neng Blambangan yen kowe kabeh pingin slamet!
5173,Dewa Gajayana menggertak.,Dewa Gajayana nggertak.
5174,kembali? ketahuilah Senapati. Mustahil bagi aku dan pasukanku kembali ke Blambangan kalau belum bisa menguasai Klungkung.,Balik? Ngertiya Senapati. Mokal kanggone aku lan pasukanku balik yen Blambangan yen durung bisa nguwasani Klungkung.
5175,Dewa Gajayana kemudian memerintahkan prajuritnya supaya menyerbu pasukan dari Blambangan yang kelihatan masih segar dan kuat tenaganya itu.,Dewa Gajayana banjur mrentahake prajurite supaya nyerbu pasukan saka Blambangan sing katon isih seger lan kuwat tenagane kuwi.
5176,"Akhirnya, karena tenaganya Senapati Gajayana dan para pasukannya sudah terkuras di pertempuran sebelumnya, jadi tidak susah jika Banterang Putra dan pasukannya bisa mengalahkan dengan gampang Dewa Gajayana dan pasukannya.","Wusanane, amarga tenagane Senapati Gajayana lan para pasukane wis kekuras ana ing palagan sak durunge, dadi ora angel yen Banterang Putra lan pasukane bisa ngalahake kanthi gampang Dewa Gajayana lan pasukane."
5177,"Di pertempuran itu, Senapati Dewa Gajayana menemui kematiannya, dengan badan bermandikan darah.","Ana ing palagan kuwi, Senapati Dewa Gajayana nemoni patine, kanthi awak adus getih."
5178,Banterang Putra kurang puas meskipun sudah bisa mengalahkan Senapati Gajayana dan pasukannya.,Banterang Putra kurang puas sanadyan wis bisa ngalahake Senapati Gajayana lan pasukane.
5179,"Dirinya merasa pasukan yang dilawan itu tidak imbang, karena tenaganya sudah terkuras di pertempuran sebelumnya.","Dheweke rumongso pasukan sing dilawan kuwi ora imbang, amarga tenagane wis kekuras ana ing palagan sak durunge."
5180,"Tetapi, bagaimanapun dirinya dan pasukannya sudah bisa mengalahkan pasukan dari Klungkung itu.","Nanging, arepa dikaya ngapa dheweke lan pasukane wis bisa ngalahake pasukan saka Klungkung kuwi."
5181,Banterang Putra kemudian memerintahkan pasukannya menyerbu ke keraton Klungkung.,Banterang Putra banjur mrentahake pasukane nyerbu neng kraton Klungkung.
5182,"Sementara itu di Keraton Klungkung, Sang Prabu Cokorda Anak Agung dan para perangkat kerajaan, membicarakan keadaan yang akan kejadian di Klungkung sana.","Sak wetara kuwi ing Kraton Klungkung, Sang Prabu Cokorda Anak Agung lan para nayakaning praja, ngrembug kahanan sing bakal kedaden ana ing Klungkung kana."
5183,"Dalam pembicaraan itu, Sang Prabu dan para perangkat kerajaan sepakat akan menjaga Klungkung sampai tetes darah yang penghabisan.","Ana ing rembugan kuwi, Sang Prabu lan para nayakaning praja sepakat bakal njaga Klungkung saenggo tekan tetese getih sing pungkasan."
5184,Mendadak ada seorang pegawai yang melaporkan kalau Senapati Dewa Gajayana dan pasukannya sudah berhasil dikalahkan oleh pasukan Blambangan.,Dumadaan ana sawijine punggawa sing nglapurake yen Senapati Dewa Gajayana lan pasukane wis kasil dikalahake dening pasukan Blambangan.
5185,Dan tidak batal sekarang pasukan Blambangan itu menuju keraton Klungkung sana.,Lan ora wurung saikine pasukan Blambangan kuwi tumuju kraton Klungkung kana.
5186,Apa! Senapati Gajayana kalah!,Apa! Senapati Gajayana kalah!
5187,Sang Prabu tidak percaya.,Sang Prabu ora percaya.
5188,"Mohon maaf, Iya Gusti.","Nyuwun pangapunten, Inggih Gusti."
5189,Senapati Gajayana sendiri bagaimana?,Senapati Gajayana dheweke kepriye?
5190,"Prajurit itu diam, dia tidak berani menyampaikan apa yang sebenarnya.","Prajurit kuwi meneng, dheweke ora wani ngandhakna apa sing sak benere."
5191,"Tapi setelah di desak oleh Sang Prabu, prajurit itu kemudian bercerita kalau Dewa Gajayana sudah meninggal.","Nanging sak wise di dhesek dening Sang Prabu, prajurit kuwi banjur crita yen Dewa Gajayana wis seda."
5192,Dewi Ayu yang sejak tau ikut menguping dari belakang kemudian keluar dengan menangis.,Dewi Ayu sing wiwit mau melu nguping saka mburinan banjur metu karo nangis.
5193,Ayah! Kakang Dewa.,Rama! Kakang Dewa.
5194,"Dewi Ayu Suratiningrum tidak kuat meneruskan ucapannya dirinya kemudian bersimpuh lemas, Pangeran Anak Agung Begawanta yang ada di sampingnya kemudian memegang badan Dewi Ayu yang lemas seperti tanpa tulang itu kemudian dibawa masuk ke keputren.","Dewi Ayu Suratiningrum ora kuwat nerusake omongane dheweke banjur ndheprok lemes, Pangeran Anak Agung Begawanta sing ana neng sandingan banjur nyekel awake Dewi Ayu sing lemes kaya tanpo balung kuwi banjur digawa mlebu neng keputren."
5195,Sementara itu pasukan Blambangan sudah sampai gerbang keraton Klungkung.,Sak wetara kuwi pasukan Blambangan wis tekan gerbang kraton Klungkung.
5196,Seperti halnya angin ribut pasukan Blambangan menyapu bersih pasukan Klungkung yang menghadang di depan.,Kaya dene angina ribut pasukan Blambangan nyapu resik pasukan Klungkung sing ngadang neng ngarepan.
5197,Serbu!,Serbu!
5198,Serang!,Serang!
5199,Pasukan dari dalam keraton kemudian bergerombol keluar seperti halnya air yang baru keluar dari pintu bendungan.,Pasukan saka njero kraton banjur gembrubul metu kaya dene banyu sing lagi metu saka lawang waduk.
5200,Tidak bisa di hindari pertempuran seru akhirnya terjadi di pelataran keraton yang luas itu.,Ora bisa di endhani palagan seru wusanane kedaden ana ing plataran kraton sing jembar kuwi.
5201,Raden Mas Banterang Putra.,Raden Mas Banterang Putra.
5202,"Karena sudah terdesak, sang Prabu Cokorda Anak Agung kemudian memerintahkan putranya, Pangeran Anak Agung Begawanta supaya mengungsikan adiknya Dewi Ayu Suratiningrum yang sejak tadi masih pingsan.","Amarga wis kedhesek, sang Prabu Cokorda Anak Agung banjur mrentahake putrane, Pangeran Anak Agung Begawanta supaya ngungsekake adhine Dewi Ayu Suratiningrum sing wiwit mau isih semaput."
5203,Para dayang juga tidak lupa diperintahkan supaya mengungsi mencari tempat yang aman.,Para dayang uga ora kelalen diprentahake supaya ngungsi golek panggonan sing aman.
5204,"Ketika itu suara tangisnya para dayang terdengar sangat ramai karena bingung ingin lari keluar kemana, semua tempat sudah terkepung oleh pasukan Blambangan.","Nalika kuwi swara tangise para dayang keprungu pating jelerit amarga bingung arep mlayu metu ngendi, kabeh kalangan wis kakepung dening pasukan Blambangan."
5205,"Sang Pangeran merasa prihatin melihat seperti itu, dia kemudian menyarankan para dayang dan pembantu itu kalau ingin selamat supaya lewat jalan tikus atau jalan rahasia di dalam tanah yang tembus di luar belakang keraton.","Sang Pangeran rumongso prihatin weruh kaya ngana kuwi, dheweke banjur nyaranake para dayang lan abdi dalem kuwi yen pingin slamet supaya padha metu dalan tikus utawa dalan rahasia neng njero lemah sing tembus neng njaba mburi kraton."
5206,Kira-kira 200 meter panjangnya.,Kira-kira 200 meter dhawane.
5207,Jalan itu sengaja dibuat memang untuk menjaga kalau keadaan sudah gawat segawat-gawatnya.,Dalan kuwi sengaja digawe pancen kanggo njagani yen kahanane wis gawat maliwat-liwat.
5208,"Tapi meskipun keadaan gawatnya seperti apapun, bukan namanya Pangeran Anak Agung Begawanta kalau tidak bisa melewati kepungannya prajurit Blambangan itu.","Nanging sanadyan kahanan gawate dikaya ngapa, ora jeneng Pangeran Anak Agung Begawanta yen ora bisa ngliwati kepungane prajurit Blambangan kuwi."
5209,"Dengan cepat dirinya melompat terbang melewati tembok keraton dengan membopong Dewi Ayu Suratiningrum yang masih pingsan, kemudian hilang di balik pohon besar di belakang keraton.","Kanthi rikat dheweke mencolot miber ngliwati temboke kraton karo mbopong Dewi Ayu Suratiningrum sing isih semaput, banjur ilang ing ana walike wit gedhe neng mburi kraton."
5210,Para prajurit yang melihat itu saling pandang-pandangan.,Para prajurit sing weruh kuwi padha pandheng-pandhengan.
5211,Hah!,Hah!
5212,Siapa itu! Ayo dikejar! Jangan sampai hilang!,Sapa kuwi! Ayo dioyak! Aja nganthi ilang!
5213,Teriak seorang prajurit.,Pambengoke sawijine prajurit.
5214,Ayo!,Ayo!
5215,"Tapi mau bagaimanapun juga mereka mengejar, tidak akan bisa mengikuti larinya Pangeran Begawanta yang seperti kuda sembrani itu.","Nanging arepa dikaya ngapa olehe ngoyak, ora bakal bisa nututi playune Pangeran Begawanta sing kaya jaran sembrani kuwi."
5216,"Sementara itu, di pelataran keraton.","Sak wetara kuwi, ing plataran kraton."
5217,"Tepatnya di tengah-tenga medan pertempuran, pasukan Klungkung kelihatan tidak kenal menyerah, mereka pada berjuang mati-matian membela negaranya yang dijajah oleh pasukan Blambangan.","Pase ana ing tengah-tengahe papan palagan, pasukan Klungkung katon ora kenal nyerah, dheweke padha berjuwang mati-matian mbelani negarane sing dijajah dening pasukan Blambangan."
5218,Maka pertempuran itu bisa juga dinamakan perang puputan yaitu perang sampai tetes darah yang terakhir tanpa takut mati.,Mulo peperangan kuwi kena uga diarani perang puputan yakuwi perang nganti tetese getih sing pungkasan tanpo wedi mati.
5219,Awalnya pasukan Klungkung bisa menangkis serangan pasukan Blambangan.,Wiwitane pasukan Klungkung bisa nataki serangane pasukan Blambangan.
5220,"Tapi sekitar empat puluh jurus, pasukan Klungkung kelihatan terdesak.","Nanging adikara patang puluh jurus, pasukan Klungkung katon kedhesek."
5221,Sang Prabu Cokorda Anak Agung dengan membawa keris di tangannya dihadang oleh pemuda tampan yang tidak lain Raden Banterang Putra.,Sang Prabu Cokorda Anak Agung kanthi nggawa keris neng tangane diadang dening kanoman bagus sing ora liya Raden Banterang Putra.
5222,Gusti Prabu.,Gusti Prabu.
5223,Saya mohon anda menyerah saja.,Kula suwun panjenengan nyerah kemawon.
