"Akibatnya , perlakuan mengenai hak atas bunga tabungan tersebut berbeda-beda antardaerah","Akibaté, perawatan hak kanggo kapentingan tabungan beda-beda ing antarane wilayah"
Nampak bahwa semua kelompok memiliki kesamaan untuk berobat ke puskesmas,Nampak menawi sedaya kelompok nggadhahi kesamen konjuk njampi datheng puskesmas 
Anak-anak keluarga kurang mampu pada umumnya bersekolah hingga SD saja,anak-anak keluarga kirang saged ing umumnya bersekolahngantos SD kamawon
"Dilihat dari indikator pekerjaan , keluarga mampu diidentifikasi sebagai petani dan pedagang","dipunningal saking indikator padamelan , keluarga saged diidentifikasi dados petani uga panggramen "
"Keluarga cukup pada umumnya bekerja sebagai petani , kuli bangunan (batu atau kayu) , sopir (mobil milik orang lain) , atau guru","Keluarga cekap ing umumnya nyambut damel dados petani , kuliwungon (sela utawi kajeng) , sopir (mobil gadhah tiyang benten) ,utawi guru "
Keluarga cukup juga makan tiga kali sehari walaupun tanpa lauk ayam dan daging,Keluarga cekap ugi tedha kaping telu sadinten mbasi tanpa laukayam uga daging 
"Setelah itu , baru dibuat urutan kesejahteraan keluarga antar-RW dan/atau antardusun","saksampune punika , enggal dipundamel urutan kesejahteraankeluarga terna-RW uga/utawi antardusun "
4.1 Proporsi Klasifikasi Kesejahteraan Keluarga Tingkat RW Desa Cibulakan ,4.1 Proporsi Klasifikasi Kesejahteraan Keluarga tingkat RWdhusun Cibulakan 
"Di tingkat desa Cibulakan , proses FGD berlangsung sebagaimana dijelaskan di atas ","ing tingkat dhusun Cibulakan , proses FGD nglajeng sami kaliyan dipunpertelakaken ing inggil "
"Klasifikasi , indikator , dan ciri-ciri kesejahteraan keluarga telah diuraikan pada Bab 3","Klasifikasi , indikator , uga ciri-ciri kesejahteraan keluargasampun diuraikan ing Bab 3 "
"Di tingkat desa , proporsi klasifikasi kesejahteraan keluarga menunjukkan bahwa ","ing tingkat dhusun , proporsi klasifikasi kesejahteraan keluarganunjukaken menawi "
"Pada intinya , inilah garis kemiskinan dari masyarakat tersebut","ing intinya , niki garis kemiskinan saking masyarakat kesebat "
Proporsi hasil FGD ini kemudian digunakan SPKM untuk menghitung proporsi klasifikasi kesejahteraan keluarga,Proporsi pikantuk FGD niki lajeng dipunginakaken SPKM konjuk mical proporsi klasifikasi kesejahteraan keluarga 
Proporsi kelompok menengah hampir mirip dengan proporsi di tingkat desa,Proporsi kelompok madya hampir mirip kaliyan proporsi ing tingkat dhusun 
"Walaupun hal ini tidak mungkin secara kuantitatif , peserta FGD tetap bertahan dengan hasil estimasi tersebut","mbasi hal niki mboten bokmenawi sacara kuantitatif , pamawi FGD tetap nguwawi kaliyan pikantuk estimasi kesebat "
Desa Kedondong Pelaksanaan FGD di Desa Kedondong dilakukan sebagaimana halnya dengan FGD di Desa Cibulakan,dhusun Kedondong pamontenan FGD ing dhusun Kedondongdipuntumindakake sami kaliyan halnya kaliyan FGD ing dhusun Cibulakan 
Dalam FGD tingkat desa ini juga diperkirakan proporsi klasifikasi kesejahteraan keluarga tingkat desa dan masing-masing RW,lebet FGD tingkat dhusun niki ugi dipunkintenakenaken proporsiklasifikasi kesejahteraan keluarga tingkat dhusun uga masing-masing RW 
"Klasifikasi , indikator , dan ciri-ciri kesejahteraan keluarga yang ada di Desa Kedondong telah diuraikan pada Bab 3 di atas","Klasifikasi , indikator , uga ciri-ciri kesejahteraan keluargaingkang enten ing dhusun Kedondong sampun diuraikan ing Bab3 ing inggil"
"Di tingkat desa , proporsi klasifikasi kesejahteraan keluarga adalah ","ing tingkat dhusun , proporsi klasifikasi kesejahteraan keluargayaiku "
"15% keluarga di Desa Kedondong termasuk ke dalam kelompok kaya , 50% kelompok cukup , dan 35% kelompok melarat (lihat Tabel 4.2)","15% keluarga ing dhusun Kedondong klebet mlebet kelompoksugih , 50% kelompok cekap , uga 35% kelompok melarat (ningal Tabel 4.2) "
"FGD memperkirakan hanya terdapat 9% keluarga kaya , 33% keluarga cukup , dan 58% keluarga melarat","FGD ngintenaken namung enten 9% keluarga sugih , 33%keluarga cekap , uga 58% keluarga melarat "
Perkiraan proporsi kesejahteraan keluarga di RW 3 adalah ,pangudakawis proporsi kesejahteraan keluarga ing RW 3 yaiku 
"12% keluarga kaya , 48% keluarga cukup , dan 40% keluarga melarat","12% keluarga sugih , 48% keluarga cekap , uga 40% keluargamelarat "
4.2 Urutan Kesejahteraan Keluarga Antar-RW Desa Cibulakan,4.2 urutan Kesejahteraan Keluarga terna-RW dhusun Cibulakan 
Desa Kedondong Peserta FGD mengurutkan kesejahteraan keluarga antar-RW yang ada di Desa Kedondong,dhusun Kedondong pamawi FGD ngurutaken kesejahteraankeluarga terna-RW ingkang enten ing dhusun Kedondong 
4.3 Urutan Kesejahteraan Keluarga Antardusun ,4.3 urutan Kesejahteraan Keluarga Antardusun 
Pengurutan kesejahteraan keluarga antardusun hanya dilakukan di Desa Cibulakan (Cianjur) yang desanya dibagi atas tiga dusu,pangurutan kesejahteraan keluarga antardusun namung dipuntumindakake ing dhusun Cibulakan (Cianjur) ingkang dhusunipun dipunpara inggil telu dusu 
Dusun 1 terdiri atas RW 1 dan RW 2; Dusun 2 terdiri atas RW 3 dan RW 4; dan Dusun 3 terdiri atas RW 5 dan RW 6,Dusun 1 badan inggil RW 1 uga RW 2; Dusun 2 badan inggil RW3 uga RW 4; uga Dusun 3 badan inggil RW 5 uga RW 6 
4.4 Urutan Kesejahteraan Keluarga di RT 1 RW 2 Desa Cibulakan ,4.4 urutan Kesejahteraan Keluarga ing RT 1 RW 2 dhusun Cibulakan 
"Klasifikasi , indikator dan ciri-ciri kesejahteraan keluarga yang ada di RT 1 RW 2 telah dijelaskan pada uraian di atas","Klasifikasi , indikator uga ciri-ciri kesejahteraan keluarga ingkang enten ing RT 1 RW 2 sampun dipunpertelakaken ing uraian ing inggil "
Seluruh keluarga ini kemudian didaftar satu per satu dan dikelompokkan ke dalam klasifikasi kesejahteraan keluarga,sedaya keluarga niki lajeng didaftar setunggal saben setunggal uga dikelompokkan mlebet klasifikasi kesejahteraan keluarga 
4.5 Urutan Kesejahteraan Keluarga di RT 1 RW 6 Desa Cibulakan ,4.5 urutan Kesejahteraan Keluarga ing RT 1 RW 6 dhusun Cibulakan 
4.6 Urutan Kesejahteraan Keluarga di RT 4 RW 1 Desa Kedondong ,4.6 urutan Kesejahteraan Keluarga ing RT 4 RW 1 dhusun Kedondong 
Dalam pengidentifikasian jumlah keluarga yang ada di RT 4 RW 1 oleh peserta FGD diperoleh jumlah keluarga sebanyak 67 KK,lebet pengidentifikasian wilangan keluarga ingkang enten ing RT4 RW 1 dening pamawi FGD dipundeningaken wilangan keluargasakathah 67 KK 
4.7 Urutan Kesejahteraan Keluarga di RT 6 RW 3 Desa Kedondong ,4.7 urutan Kesejahteraan Keluarga ing RT 6 RW 3 dhusun Kedondong 
5.1 Proporsi Kesejahteraan Keluarga Antar-RW ,5.1 Proporsi Kesejahteraan Keluarga terna-RW 
Dari 24 angka persentase yang diperbandingkan tidak terdapat satupun yang memiliki angka persentase yang sama persis,saking 24 angka persentase ingkang dipunbandingakenaken mboten enten setunggala ingkang nggadhahi angka persentaseingkang sami persis 
"Walau berbeda , angka persentase antara hasil FGD dan hasil perhitungan SPKM ini memiliki pola distribusi yang sama","Walau benten , angka persentase antawis pikantuk FGD uga pikantuk petang SPKM niki nggadhahi pola distribusi ingkang sami"
Hal yang sama juga berlaku juga untuk RW-RW yang lainnya,Hal ingkang sami ugi majeng ugi konjuk RW-RW ingkang bentenipun 
"Sementara itu , terdapat juga disparitas dalam hal kesejahteraan antara hasil SPKM dan hasil FGD di tingkat RW","Sementara punika , enten ugi disparitas lebet hal kesejahteraanantawis pikantuk SPKM uga pikantuk FGD ing tingkat RW "
Hanya terdapat satu proporsi kesejahteraan hasil FGD yang sama dengan proporsi kesejahteraan hasil SPKM,namung enten setunggal proporsi kesejahteraan pikantuk FGDingkang sami kaliyan proporsi kesejahteraan pikantuk SPKM 
Perbedaannya berkisar antara dua dan 19 basis poin,bedanipun berkisar antawis kalih uga 19 basis poin 
Pembahasan berikut mengenai proporsi kesejahteraan keluarga untuk masing-masing RW akan menjelaskan lebih jauh tentang hal ini,pangrembagan punika ngengingi proporsi kesejahteraankeluarga konjuk masing-masing RW badhe mertelakaken langkung tebih babagan hal niki 
Pola distribusi di RW 2 berbeda dengan di RW 1,Pola distribusi ing RW 2 benten kaliyan ing RW 1 
"Namun , besaran antara perkiraan peserta FGD dan perhitungan SPKM secara bergantian lebih besar","nanging , agengan antawis pangudakawis pamawi FGD uga petang SPKM sacara nggantosan langkung ageng "
"Kemudian , pada proporsi kesejahteraan kelompok miskin , hasil perhitungan SPKM lebih besar daripada hasil perkiraan peserta FGD","lajeng , ing proporsi kesejahteraan kelompok miskin , pikantuk petang SPKM langkung ageng daripada pikantuk pangudakawis pamawi FGD "
"Di RW 4 , proporsi kesejahteraan keluarga memiliki kemiripan dengan di RW 2","ing RW 4 , proporsi kesejahteraan keluarga nggadhahi kemiripankaliyan ing RW 2 "
Di RW 5 proporsi kesejahteraan keluarga memiliki pola yang berbeda dengan pola di RW-RW lainnya,ing RW 5 proporsi kesejahteraan keluarga nggadhahi polaingkang benten kaliyan pola ing RW-RW bentenipun 
"Misalnya kebutuhan akan sayur , buah , dan sejenisnya tidak perlu mereka beli sebab semua itu dihasilkan dari kebun sendiri","kados ta kebetahan badhe sayur , buah , uga sawarninipun mboten betah piyambake sedaya tumbas amergi sedaya punika dipunpikantukaken saking kebon piyambak "
Perbedaan yang tipis ini menunjukkan bahwa hasil perhitungan SPKM pada umumnya sesuai dengan hasil FGD,bedan ingkang tipis niki nunjukaken menawi pikantuk petang SPKM ing umumnya sami kaliyan pikantuk FGD 
"Untuk kelompok melarat , angka proporsi sama persis antara hasil perkiraan peserta FGD dengan hasil perhitungan SPKM","konjuk kelompok melarat , angka proporsi sami persis antawis pikantuk pangudakawis pamawi FGD kaliyan pikantuk petang SPKM "
5.2 Urutan Kesejahteraan Keluarga Antar-RW Desa Cibulakan ,5.2 urutan Kesejahteraan Keluarga terna-RW dhusun Cibulakan 
Kedua hasil pemeringkatan ini kemudian diperbandingkan,kaping kalih pikantuk pemeringkatan niki lajeng dipunbandingakenaken 
Peserta FGD menilai bahwa kesejahteraan keluarga di RW 1 lebih baik dibanding kesejahteraan keluarga di RW 3,pamawi FGD ngaos menawi kesejahteraan keluarga ing RW 1langkung sae dipunbanding kesejahteraan keluarga ing RW 3 
Ada beberapa argumen yang bisa menjelaskan hal ini,enten beberapa argumen ingkang sanguh mertelakaken hal niki 
5.3 Urutan Kesejahteraan Keluarga Antardusun di Desa Cibulakan ,5.3 urutan Kesejahteraan Keluarga Antardusun ing dhusun Cibulakan 
5.4 Urutan Kesejahteraan Keluarga di RT 1 RW 2 Desa Cibulakan ,5.4 urutan Kesejahteraan Keluarga ing RT 1 RW 2 dhusun Cibulakan 
"Namun , peserta FGD menemui kesulitan mengurutkan semua keluarga yang ada di RT 1 karena jumlah populasi RT ini sangat besar","nanging , pamawi FGD memoni kerekaosan ngurutaken sedaya keluarga ingkang enten ing RT 1 amargi wilangan populasi RTniki ageng sanget"
Hasil pengurutan kesejahteraan keluarga di RT 1 adalah sebagai berikut,pikantuk pangurutan kesejahteraan keluarga ing RT 1 yaiku dados punika 
5.5 Urutan Kesejahteraan Keluarga di RT 1 RW 6 Desa Cibulakan ,5.5 urutan Kesejahteraan Keluarga ing RT 1 RW 6 dhusun Cibulakan 
Hasil ini menunjukkan bahwa perhitungan SPKM mampu memprediksi urutan kesejahteraan keluarga dengan keakuratan yang cukup tinggi,pikantuk niki nunjukaken menawi petang SPKM saged memprediksi urutan kesejahteraan keluarga kaliyan keakurataningkang cekap inggil 
5.6 Urutan Kesejahteraan Keluarga di RT 4 RW 1 Desa Kedondong,5.6 urutan Kesejahteraan Keluarga ing RT 4 RW 1 dhusun Kedondong 
Proporsi kesejahteraan keluarga di setiap RW di kedua desa menunjukkan pola distribusi yang sama,Proporsi kesejahteraan keluarga ing saben RW ing kaping kalih dhusun nunjukaken pola distribusi ingkang sami 
"Lebih dari itu , SPKM juga mampu memprediksi urutan kesejahteraan keluarga dengan keakuratan yang cukup tinggi","langkung saking punika , SPKM ugi saged memprediksi urutan kesejahteraan keluarga kaliyan keakuratan ingkang cekap inggil "
"Tanpa mereka , studi ini tidak mungkin terlaksana","Tanpa piyambake sedaya , studi niki mboten bokmenawi kelampahan "
Studi Baseline Kualitatif PNPM Generasi dan PKH,Studi Baseline Kualitatif PNPM Generasi uga PKH 
"Data dasar kualitatif , PNPM Generasi , PKH , pelayanan dasar kesehatan ibu dan anak , pelayanan pendidikan dasar , Indonesia","Data dasar kualitatif , PNPM Generasi , PKH , paladosan dasarkesarasan ibu uga anak , paladosan pamucalan dasar ,Indonesia "
Pertanyaan utama penelitian adalah (1) mengapa sebagian masyarakat tidak menggunakan pelayanan dasar kesehatan ibu dan anak,pitakenan utami penelitian yaiku (1) kenging punapa sakunjukan masyarakat mboten ngginakaken paladosan dasar kesarasan ibu uga anak 
dan (2) mengapa sebagian masyarakat tidak mendaftarkan anak-anak mereka ke SD/MI dan/atau SMP/MTs,uga (2) kenging punapa sakunjukan masyarakat mboten mendaftarkan anak-anak piyambake sedaya datheng SD/mun uga/utawi SMP/MTs 
Jawaban dari pertanyaan tersebut digali dari sisi supply (ketersediaan pelayanan) dan demand (penggunaan pelayanan),wangsulan saking pitakenan kesebat dipunduduk saking sisisupply (ketersediaan paladosan) uga demand (pangginan paladosan) 
Penelitian lapangan di setiap desa/kelurahan dilakukan rata-rata selama 1 minggu,Penelitian lapangan ing saben dhusun/kelurahan dipuntumindakake radin-radin salebetipun 1 minggu 
1.4 Wilayah Penelitian Provinsi Jawa Barat dan Provinsi NTT dipilih sebagai wilayah studi baseline kualitatif ini,1.4 Wilayah Penelitian Provinsi Jawi kilen uga Provinsi NTTdipunpileh dados wilayah studi baseline kualitatif niki 
Empat kabupaten dan satu kota terpilih menjadi wilayah sampel dalam studi ini,sekawan kabupaten uga setunggal kitha kepileh dados wilayahsampel lebet studi niki 
"Secara total , studi baseline kualitatif ini telah dilakukan di 24 desa/kelurahan yang mewakili pedesaan dan perkotaan","sacara total , studi baseline kualitatif niki sampun dipuntumindakake ing 24 dhusun/kelurahan ingkang makili pandhusunan uga kithan "
Karakteristik Wilayah Akses fisik untuk mencapai sebagian besar desa di NTT dan wilayah terpencil di Jawa Barat sulit,Karakteristik Wilayah Akses fisik konjuk mencapai sakunjukan ageng dhusun ing NTT uga wilayah terpencil ing Jawi kilen rekaos 
"Di NTT , sebagian besar jalan merupakan pengerasan berbatu serta berlumpur pada waktu hujan","ing NTT , sakunjukan ageng radin ngrupikaken pangatosan nyela mawi berlumpur ing wanci jawah "
Beberapa dusun dipisahkan oleh sungai tanpa jembatan sehingga tidak bisa dilalui selama musim hujan,Beberapa dusun dipunsapihaken dening lepen tanpa tretek dadosipun mboten sanguh kelangkungan salebetipun musimjawah 
"Hampir tidak ada sarana angkutan pedesaan , kecuali ojek yang relatif mahal","Hampir mboten enten pirantos usungan pandhusunan , kajawi ojek ingkang relatif awis"
"Di Jawa Barat , beberapa desa relatif mudah diakses dan sarana transportasi cukup memadai","ing Jawi kilen , beberapa dhusun relatif gampil diakses uga pirantos transportasi cekap ngenteni "
"Di sebagian desa , tersedia angkutan pedesaan dan hampir semua desa memiliki banyak ojek","ing sakunjukan dhusun , sampun dicawis usungan pandhusunan uga hampir sedaya dhusun nggadhahi kathah ojek "
"Namun demikian , angkutan desa tidak mencapai beberapa desa dan dusun terpencil","nanging mekaten , usungan dhusun mboten mencapai beberapadhusun uga dusun terpencil "
Mata pencaharian sebagian besar penduduk adalah petani dan nelayan,mripat pencaharian sakunjukan ageng para wargi yaiku petaniuga nelayan 
"Bedanya , lahan di NTT kurang subur dan berbatu , sementara di Jawa Barat tanahnya relatif subur","bedanipun , pasiten ing NTT kirang subur uga nyela , sementaraing Jawi kilen sitinipun relatif subur "
"Selain itu , ternak Ã¢â‚¬Âkaki empatÃ¢â‚¬Â merupakan salah satu usaha perekonomian masyarakat di NTT","kajawi punika , ingah-ingah Ã¢â‚¬Âsuku sekawanÃ¢â‚¬Â ngrupikaken salah satunggal upados perekonomian masyarakating NTT "
"Fasilitas dasar , seperti listrik dan air , di sebagian besar desa di NTT yang diteliti sangat minim","Fasilitas dasar , kados listrik uga toya , ing sakunjukan ageng dhusun ing NTT ingkang diteliti minim sanget "
"Fasilitas yang tersedia tersebut adalah bidan desa , polindes (pos bersalin desa) , dan posyandu","Fasilitas ingkang sampun dicawis kesebat yaiku bidan dhusun ,polindes (pos nglairaken(2) dhusun) , uga posyandu "
"Di wilayah terpencil dengan akses sulit di NTT , tidak semua bidan desa bersedia tinggal di polindes atau desa","ing wilayah terpencil kaliyan akses rekaos ing NTT , mboten sedaya bidan dhusun purun tilar ing polindes utawi dhusun "
Dusun-dusun lokasinya jauh dari keberadaan bidan desa atau polindes,Dusun-dusun lokasinya tebih saking kewontenan bidan dhusun utawi polindes
"Idealnya , untuk wilayah yang luas diperlukan lebih dari satu bidan desa","Idealnya , konjuk wilayah ingkang wiyar dibetahaken langkung saking setunggal bidan dhusun "
"Posyandu telah ada di semua desa , bahkan di setiap dusun","Posyandu sampun enten ing sedaya dhusun , bahkan ing saben dusun "
"Hampir semuanya aktif , rutin diselenggarakan setiap bulan , dan dikelola oleh tiga hingga lima kader","Hampir sedayanipun aktif , rutin dipunwontenaken sawulanan ,uga dikelola dening telu ngantos gangsal kader "
Meskipun demikian kehadiran peserta (balita dan bumil) masih rendah,parandosipun kedhatengan pamawi (balita uga bumil) taksih andhap 
"Selama ini , posisi kader posyandu sangat sentral dalam pelayanan KIA dan pelayanan masyarakat lainnya","salebetipun niki , posisi kader posyandu sentral sanget lebet paladosan KIA uga paladosan masyarakat bentenipun "
"Meskipun jumlah dan fungsinya berkurang , dukun beranak masih tetap ada","senaosa wilangan uga ginanipun ngirang , dukun nduwe anak taksih tetap enten "
Sekitar satu hingga lima dukun beranak masih melayani masyarakat di semua desa/kelurahan,Sekitar setunggal ngantos gangsal dukun nduwe anak taksih ngladosi masyarakat ing sedaya dhusun/kelurahan 
"Di beberapa desa/kelurahan di NTT , jumlah dukun beranak malahan bertambah","ing beberapa dhusun/kelurahan ing NTT , wilangan dukun nduwe anak nglinton minggah "
"Hanya di wilayah yang terpencil dan/atau banyak penduduk miskin , masih ada yang tidak menggunakan KIA modern","namung ing wilayah ingkang terpencil uga/utawi kathah para wargi miskin , taksih enten ingkang mboten ngginakaken KIAmodern "
"Sebagian menggunakan dukun beranak dan sebagian dibantu oleh suami sendiri , keluarga dekat , atau tetangga pada saat melahirkan","sakunjukan ngginakaken dukun nduwe anak uga sakunjukan dibantu dening semah piyambak , keluarga celak , utawi tanggi ing kala babaran "
Alasan masyarakat memilih bidan desa dilandasi oleh pengetahuan mereka bahwa secara medis bidan desa bisa dipertanggungjawabkan,Alasan masyarakat mileh bidan dhusun dilandasi dening pangasumerepan piyambake sedaya menawi sacara medisbidan dhusun sanguh dipertanggungjawabkan 
Paling banyak imunisasi dilakukan di posyandu,paling kathah imunisasi dipuntumindakake ing posyandu 
(1) anak takut dimasukkan ke timbangan (dacin); ,(1) anak ajrih dipunmlebetaken datheng timbangan (dacin); 
"(5) orang tua sibuk bekerja atau repot (misalnya , berjualan di pasar , melaut , panen); ","(5) tiyang sepuh ribet nyambut damel utawi ewed (kados ta ,mande ing peken , nyeganten , panen); "
"(7) persepsi orang tua yang salah tentang penimbangan balita , yaitu tidak ada hubungannya dengan kesehatan; ","(7) persepsi tiyang sepuh ingkang klintu babagan penimbanganbalita , yaiku mboten enten hubunganipun kaliyan kesarasan; "
"(9) sedang banjir , yang artinya sungai tidak bisa diseberangi","(9) saweg bena , ingkang artosipun lepen mboten sanguh diseberangi "
"Selain itu , ada beberapa ibu yang ingin ditemani oleh dukun beranak pada saat melahirkan dengan bidan desa","kajawi punika , enten beberapa ibu ingkang kersa dipunkancani dening dukun nduwe anak ing kala babaran kaliyan bidandhusun "
"Akses keuangan berkaitan dengan mahalnya biaya melahirkan dan transportasi , dan keharusan bekerja jauh dari pemukiman","Akses kartan berkaitan kaliyan awisipun biaya babaran uga transportasi , uga kekedahan nyambut damel tebih saking pangawisan "
Tokoh agama memberikan dukungan dan dorongan terhadap penggunaan KIA modern,Tokoh agami nyukakaken dukungan uga surungan majeng pangginan KIA modern 
"3.2 Pelayanan Pendidikan Dasar 3.2.1 Ketersediaan Secara kuantitas , keberadaan SD di setiap desa dinilai sudah mencukupi","3.2 paladosan pamucalan Dasar 3.2.1 Ketersediaan sacara kuantitas , kewontenan SD ing saben dhusun dipunaos sampun nyekapi"
"Bahkan , di NTT , kondisinya memprihatinkan","Bahkan , ing NTT , kondisinya mrihatosaken "
"Selain jumlah kelasnya kurang , banyak kelas di SD-SD tersebut sudah tidak layak pakai","kajawi wilangan kelasnya kirang , kathah kelas ing SD-SD kesebat sampun mboten prayogi angge "
eternitnya sudah jebol dan bangku-bangkunya kurang terawat,eternitnya sampun jebol uga bangku-bangkunya kirang terawat 
"Beberapa SD tidak memiliki perpustakaan; kalaupun memiliki , kondisinya tidak layak dan koleksi bukunya tidak lengkap","Beberapa SD mboten nggadhahi perpustakaan; menawia nggadhahi , kondisinya mboten prayogi uga koleksi bukunyagothang "
Begitu pula untuk alat peraga dan alat-alat olahraga; jumlahnya masih minim,mekaten ugi konjuk pirantos peraga uga pirantos-pirantos olahraga; wilanganipun taksih minim 
Fasilitas SMPN (sekolah menengah pertama negeri) umumnya berada di ibu kota kecamatan,Fasilitas SMPN (sekolah madya setunggal negeri) umumnyawonten ing ibu kitha kecamatan 
"Di Jawa Barat , rata-rata jumlah SMP per kecamatan lebih dari tiga , sedangkan di NTT , hanya satu atau dua saja","ing Jawi kilen , radin-radin wilangan SMP saben kecamatanlangkung saking telu , sawegaken ing NTT , namung setunggal utawi kalih kamawon "
"Dalam situasi normal , daya tampung SD cukup memadai ","lebet situasi normal , daya tampung SD cekap ngenteni "
"Bahkan , beberapa SD di pedesaan kekurangan murid","Bahkan , beberapa SD ing pandhusunan kekirangan murid "
Keterbatasan daya tampung juga terjadi pada SMP-SMP favorit karena biasanya masyarakat memilih SMP yang ada ibu kota kecamatan,Keterbatasan daya tampung ugi kedadosan ing SMP-SMP favoritamargi biyasanipun masyarakat mileh SMP ingkang enten ibu kitha kecamatan 
"Di hampir semua wilayah , anak dengan keterbelakangan ditolak masuk SD","ing hampir sedaya wilayah , anak kaliyan keterbelakanganditolak mlebet SD "
"Bagi sekolah yang kekurangan murid , dana BOS (bantuan operasional sekolah) yang diterima sedikit","kunjuk sekolah ingkang kekirangan murid , dana BOS (bantuanoperasional sekolah) ingkang katampi sekedhik "
"Secara umum , tidak ada kendala dalam menjangkau kelompok tertentu guna mendorong mereka supaya menyekolahkan anaknya ke SD","sacara umum , mboten enten kendala lebet menjangkaukelompok tertentu gina nyurung piyambake sedaya supados menyekolahkan anakipun datheng SD "
"Namun , lain halnya dengan kelompok tertentu yang tidak menyekolahkan anak mereka ke SMP","nanging , benten halnya kaliyan kelompok tertentu ingkang mboten menyekolahkan anak piyambake sedaya datheng SMP "
"Berdasarkan hasil pengamatan di beberapa sekolah , tampak bahwa tingkat absensi guru cukup tinggi","Berdasarkan pikantuk panyangetan ing beberapa sekolah ,katingal menawi tingkat absensi guru cekap inggil "
"Secara umum , komite sekolah , baik di SD maupun di SMP , tidak berfungsi secara optimal dan yang banyak berperan hanya ketuanya","sacara umum , komite sekolah , sae ing SD kersaa ing SMP ,mboten nduwe gina sacara optimal uga ingkang kathah nyabenan namung pandeganipun "
Sebagian masyarakat NTT juga lebih mementingkan adat dan kehormatan,sakunjukan masyarakat NTT ugi langkung migatikaken adat uga kebektosan 
Mereka bersedia menjual ternak mereka untuk kepentingan adat tapi tidak untuk kepentingan sekolah,piyambake sedaya purun sade ingah-ingah piyambake sedaya konjuk kewigaten adat nanging mboten konjuk kewigaten sekolah 
Masalah akses keuangan berkaitan dengan biaya penunjang sekolah dan kebutuhan keluarga sehari-hari,Masalah akses kartan berkaitan kaliyan biaya penunjang sekolahuga kebetahan keluarga sadinten-dinten 
Anak tidak mau sekolah juga menjadi persoalan utama mengapa anak tidak melanjutkan sekolah ke SMP atau terpaksa putus sekolah,anak mboten kersa sekolah ugi dados persoalan utami kenging punapa anak mboten nglajengaken sekolah datheng SMP utawi kepeksa putus sekolah
ia juga merasa tidak melihat masa depan yang lebih baik dengan melanjutkan sekolah,piyambakipun ugi rumaos mboten ningali masa ngajeng ingkang langkung sae kaliyan nglajengaken sekolah 
Alasan-alasan lainnya meliputi Ã¢â‚¬Å“otak beratÃ¢â‚¬Â yang Ã¢â‚¬Å“kebandelanÃ¢â‚¬Â atau kenakalan remaja,Alasan-alasan bentenipun meliputi Ã¢â‚¬Å“otak antebÃ¢â‚¬Â ingkang Ã¢â‚¬Å“kebandelanÃ¢â‚¬Â utawi kembelingan remaja 
Sebagian besar siswa tidak pernah tidak masuk sekolah dalam waktu yang panjang,sakunjukan ageng siswa mboten nate mboten mlebet sekolahlebet wanci ingkang panjang 
Alasan ekonomi juga menjadi sebab mengapa anak tidak masuk sekolah,Alasan ekonomi ugi dados amergi kenging punapa anak mboten mlebet sekolah 
"Berdasarkan temuan-temuan tersebut , pelaksana PNPM Generasi dan PKH harus memperhatikan paling tidak tiga hal utama , yaitu","Berdasarkan panggihan-panggihan kesebat , pamonten PNPMGenerasi uga PKH kedah mirengaken paling mboten telu halutami , yaiku "
"Terkait dengan butir b , informan di setiap tingkat tidak hanya dibatasi pada informan tertentu","Terkait kaliyan butir b , informan ing saben tingkat mboten namung dipunwatesi ing informan tertentu "
"Demikian juga di tingkat desa , perlu dilakukan wawancara terhadap kepala dusun , kepala urusan kesejahteraan , dan lainnya","mekaten ugi ing tingkat dhusun , betah dipuntumindakake wawancara majeng sirah dusun , sirah urusan kesejahteraan ,uga bentenipun "
Waktu penelitian di desa hendaknya dibuat lebih lama (minimal 10 hari),wanci penelitian ing dhusun badhenipun dipundamel langkung dangu (minimal 10 dinten) 
Kedua program tersebut didesain untuk mencapai sejumlah tujuan yang sama ,kaping kalih program kesebat dipundesain konjuk mencapaisawilangan tujuan ingkang sami 
"Dalam PNPM Generasi , dana tunai dialokasikan ke komunitas , bukan ke rumah tangga secara perseorangan","lebet PNPM Generasi , dana tunai dialokasikan datheng komunitas , sanes datheng griya tangga sacara perseorangan "
Kedua program ini menargetkan 12 indikator sebagai syarat penerimaan rutin program,kaping kalih program niki menargetkan 12 indikator dados syaratpanampen rutin program 
keharusan melahirkan dengan pertolongan tenaga kesehatan; ,kekedahan babaran kaliyan tulungan tenaga kesarasan; 
keharusan bagi ibu nifas untuk melakukan pemeriksaaan kesehatan (ibu dan bayinya); ,kekedahan kunjuk ibu nifas konjuk numindakake pemeriksaaankesarasan (ibu uga bayinya); 
dan keharusan bagi anak usia 6-11 bulan untuk mendapatkan Vitamin A,uga kekedahan kunjuk anak umur 6-11 wulan konjuk nyagedaken Vitamin A 
"Dalam PNPM Generasi , persyaratan didasarkan pada kinerja pengelolaan keuangan di tiap desa","lebet PNPM Generasi , persyaratan didasarkan ing kinerjapengelolaan kartan ing saben dhusun "
"Agar dapat menerima transfer dana secara penuh , penerima PKH diharuskan mengunjungi fasilitas kesehatan dan hadir di sekolah","kajengipun saged nampi transfer dana sacara kebak , panampi PKH dipunkedahaken mengunjungi fasilitas kesarasan uga dhateng ing sekolah "
Data tersebut akan menjadi dasar untuk evaluasi dampak program di wilayah yang sama,Data kesebat badhe dados dasar konjuk evaluasi dampakprogram ing wilayah ingkang sami 
