"Manusia membutuhkan makanan dan air supaya menjadi kuat dan sehat, begitu juga tanaman","Manungsa butuh pangan lan banyu dadi kuwat lan sehat, supaya tetanduran"
Hingga kerisnya meleset mengenai badan Dewi Ayu.,Saenggo kerise luput ngenani awake Dewi Ayu.
"Dewi, cepat lari! ucap dayang itu dengan membantu Dewi Ayu bangun.","Dewi, cepet mlayu! pangucape dayang kuwi karo ngrewangi Dewi Ayu tangi."
Dewi Ayu kemudian lari lagi sekuat tenaga.,Dewi Ayu banjur mlayu maneh sak kuwate tenaga.
Kurang ajar!,Kurang ajar!
"Siapa yang berani mendorong diriku tadi, ayo mengaku!","Sapa sing wani nyurung awakku mau, ayo ngaku!"
Para dayang dan prajurit yang berkumpul di sana pada diam semua tidak ada yang berani berbicara.,Para dayang lan prajurit sing ngumpul neng kana padha meneng kabeh ora ana sing wani ngomong.
Prajurit! Cepat kejar Dewi Ayu. Jangan sampai kehilangan!,Prajurit! Cepet oyak Dewi Ayu. Aja nganti kelangan!
Para prajurit yang ada di sana pada bingung ingin berbuat apa.,Para prajurit sing ana neng kana padha bingung arep tumindak apa.
"Hah, kelamaan.","Hah, kesuwen."
Kamu semua prajurit goblok!,Kowe kabeh prajurit goblok!
Mengejar begitu saja tidak bisa.,Ngoyak ngana wae ora bisa.
Sang Prabu lari mengejar Dewi Ayu Suratiningrum meninggalkan prajurit yang masih pada diam di sana.,Sang Prabu mlayu ngoyak Dewi Ayu Suratiningrum ninggalake prajurit sing isih padha meneng neng kana.
"Dewi, Dewi, di mana kamu? Dewi, tunggu aku!","Dewi, Dewi, neng ngendi kowe? Dewi, entenana aku!"
"Dewi Ayu lari terus, dirinya tidak perduli pandangan para dayang dan para prajurit yang kebetulan bertemu dengan dirinya.","Dewi Ayu mlayu terus, dheweke ora perduli pandhengane para dayang lan para prajurit sing ngepasi ketemu karo dheweke."
Yang penting sekarang dirinya harus bisa keluar dari keraton sana.,Sing penting saiki dheweke kudu bisa metu saka kraton kana.
"Lho, lho, lho, ada apa dengan Gusti Permaisuri?","Lho, lho, lho, ana apa karo Gusti Permaisuri?"
Mengapa kok lari sampai seperti begitu?,Kena apa kok mlayu nganti kaya ngana?
"Entah, ya?","Embuh, ya?"
Pertanyaan para dayang dan prajurit itu baru terjawab ketika Sang Prabu lari-lari dari dalam keraton dengan mengacung-ngacungkan keris.,Pitakone para dayang lan prajurit kuwi lagi kejawab nalika Sang Prabu mlayu-mlayu saka njero kraton karo nganthung-nganthungake keris.
"Dewi, kamu tidak akan bisa lepas dari aku!","Dewi, kowe ora bakal bisa ucul saka aku!"
Hah! Sang Prabu mengejar-ngejar Gusti Dewi?,Hah! Sang Prabu ngoyak-ngoyak Gusti Dewi?
Para prajurit dan para dayang pada bingung.,Para prajurit lan para dayang padha bingung.
Sang Prabu dan Gusti Permaisuri yang tadinya rukun kok bisa jadi seperti begitu?,Sang Prabu lan Gusti Permaisuri sing maune rukun kok bisa dadi kaya ngana?
Apa kira-kira masalahnya?,Apa kira-kira perkarane?
"Hari sudah senja, Dewi Ayu masih lari tanpa istirahat sehingga sampai pinggir hutan.","Dinane wis surup, Dewi Ayu isih mlayu tanpo ngaso saenggo tekan pinggire alas."
Dirinya teringat kalau hutan sana itu tembusnya pantai timur Blambangan.,Dheweke kelingan yen alas kana kuwi tembuse pantai wetan Blambangan.
"Pantai yang indah dan bagus, sebuah pantai yang akan ditunjukkan kepada suaminya yang disayangi.","Pantai sing endah tur edi peni, sawijine pantai sing bakal dituduhake marang garwane sing ditrasnani."
"Kangmas Prabu, kenapa Kangmas berubah seperti begitu?",Nanging.
Apa Salahku?,"Kangmas Prabu, kena apa Kangmas ngalih kaya ngana?"
Jeritnya Dewi Ayu di dalam hatinya.,Apa Salahku?
Dewi Ayu kemudian meneruskan perjalanannya sendiri tidak perduli dengan gelapnya hutan sana.,Dewi Ayu banjur nerusake lakune dheweke ora perduli karo petenge alas kana.
"Badannya sudah capek, bolak-balik dirinya jatuh tersandung akar pohon besar, banyak luka di kakinya.","Awake wis kesel, bola-bali dheweke tiba kesandung oyote wit gedhe, akeh tatu neng sikile."
Tapi dirinya tidak merasakan semua itu.,Nanging dheweke ora ngrasakake kabeh kuwi.
"Akhirnya, Dewi Ayu bisa berhasil keluar dari hutan sana.","Wusanane, Dewi Ayu bisa kasil metu saka alas kana."
"Sekarang dirinya sudah ada di pinggir pantai, tanpa disadari hari sudah pagi, matahari sudah kelihatan dari timur.","Saiki dheweke wis ana ing pinggire pantai, tanpo disadari dinane wis esuk, srengengene wis waton saka wetan."
Dewi Ayu kemudian menghentikan larinya.,Dewi Ayu banjur ngendegake mlayune.
"Dia menoleh kebelakang, tidak kelihatan orang yang mengejar dirinya.","Dheweke noleh memburi, ora katon pawongan sing ngoyak dheweke."
"Ketika itu badannya sudah terasa sakit semua, luka-lukanya sudah pegal.","Nalika kuwi awake wis krasa loro kabeh, tatu-tatune wis njarem."
Seketika badan Dewi Ayu bersimpuh di pasir.,Sak nalika awake Dewi Ayu ndheprok neng pasir.
"Duh, Gusti Yang Maha Kuasa.","Duh, Gusti Yang Maha Kuwasa."
Saya mohon kekuatan untuk enghadapi cobaan yang berat ini.,Kula nyuwun kekuatan kangge nglampahi cubi ingkang awrat menika.
"Dewi Ayu menangis, dia tidak mengerti akan berbuat apa lagi.","Dewi Ayu nangis, dheweke ora ngerti bakal tumindak apa maneh."
Mendadak dia teringat waktu dulu ketika dirinya mengobrol dengan ayahnya.,Dumadaan dheweke kelingan mongso kapungkur nalika dheweke jejagongan karo ramane.
Ketika itu ayahnya pernah berbicara kalau Gusti Yang Maha Agung itu kalau memberi cobaan kepada umatnya tidak akan melebihi kekuatannya.,Nalika kuwi ramane tau ngendikan yen Gusti Kang Maha Agung kuwi kanggone aweh cobaan marang kawulane ora bakal ngluwihi kekuwatane.
Yaitu sebagai belas kasihnya Gusti Yang Maha Agung kepada umatnya.,Yakuwi minangka welas asihe Gusti Kang Maha Agung marang kawulane.
Dewi!,Dewi!
Mendadak ada suara keras dari depan.,Dumadaan ana swara sora saka ngarepan.
Kamu sekarang ingin lari ke mana. Hah!,Kowe saiki arep mlayu neng ngendi. Hah!
"Dewi Ayu kaget, Sang Prabu Banterang Putra sudah berdiri di depan dengan keris masih digenggam kencang di tangannya.","Dewi Ayu kaget, Sang Prabu Banterang Putra wis ngadeg ana neng ngarepe kanthi keris isih digegem kenceng neng tangane."
"Kangmas, kenapa anda tega mau membunuh saya?","Kangmas, kinging menapa panjenengan tega badhe merjaya kula?"
Salah saya apa?,Salah kula menapa?
Kamu masih belum mengerti apa salahmu?,Kowe isih durung ngerti apa salahmu?
Padahal kamu sudah jelas kalau selingkuh.,Kamangka kowe wes cetha yen slingkuh.
"Sumpah, Kangmas.","Sumpah, Kangmas."
Semua yang anda tuduhakan kepada saya itu keliru.,Sedaya ingkang panjenengan tuduhake dateng kula menika kelintu.
Saya masih cinta kepada anda.,Kula tasih remen dateng panjenengan.
Bohong! Kamu sudah berani membohongi aku!,Ngapusi! Kowe wis wani ngapusi aku!
Sekarang aku akan membunuh dirimu!,Saiki aku bakal mateni awakmu!
"Kalau meninggalnya saya dapat membuat anda lega, saya sanggup anda bunuh.","Menawi sedanipun kula ndadosaken manah panjenengan legawa, kula sagah panjenengan perjaya."
"Silahkan, Kangmas!","Sumonggo, Kangmas!"
Dewi Ayu kemudian terpejam.,Dewi Ayu banjur merem.
Dirinya sekarang ini sudah lebih siap menghadapi kematian untuk membuktikan kalau dirinya itu benar.,Dheweke sak iki wis luwih siap ngadepi pati kanggo mbuktekna yen dheweke kuwi bener.
"Ketika Sang Prabu Banterang Putra yang sedang kalap itu ingin mengayunkan kerisnya, mendadak ada ombak besar yang datang kemudian menghanyutkan badan Dewi Ayu Suratiningrum.","Nalika Sang Prabu Banterang Putra sing lagi kalap kuwi arep nyabetake kerise, dumadaan ana ombak gedhe sing teka banjur nyaput awake Dewi Ayu Suratiningrum."
"Melihat seperti begitu itu, Sang Prabu lemas badanny.","Weruh kaya ngana kuwi, Sang Prabu lemes awake."
Keris yang sejak tadi digenggam kencang di tangannya jadi lepas seketika.,Keris sing wiwit mau digegem kenceng neng tangane dadi ucul sak nalika.
"Tidak lama dari itu, mendadak ada suara.","Ora suwe saka kuwi, dumadaan ana swara."
"Kangmas Prabu, kanggo membuktikan kalau saya tidak selingkuh berarti cinta saya masih suci kepada anda, maka air laut ini akan mengeluarjan bau yang harum.","Kangmas Prabu, kanggo mbuktekake menawi kula boten slingkuh ateges tresna kula tasih suci dateng panjenengan, sak mangke toya segara menika bakal ngedhalake gondho ingkang arum."
Sekarang saya sudah menghadap kepada Yang Maha Kuasa dengan hati yang tentram.,Sak menika kula sampun ngadhep dateng kang Maha Kuwasa kanthi manah kang tentrem.
Ketika itu juga air laut di sana mengeluarkan bau yang wangi sekali.,Nalika kuwi uga banyu segara neng kana ngetokake gondho sing wangi banget.
"Sang Prabu Banterang Putra semakin gemetar badannya, dirinya merasa salah karena sudah menuduh istrinya yang suci itu.","Sang Prabu Banterang Putra sansaya gemeter awake, dheweke rumongso salah amarga wis nuduh garwane sing suci kuwi."
"Duh Gusti, kenapa saya berbuat seperti itu?","Duh Gusti, kinging menapa kula tumindak kados mekaten?"
Saya sudah mengikuti hawa nafsu tidak menggunakan akal sehat saya.,Kula sampun nuruti hawa nafsu boten nggunakake akal waras kula.
Sang Prabu kemudian menangis.,Sang Prabu banjur nangis.
Dirinya menjerit keras.,Dewi!
"Dewi Ayu, aku meminta maaf.",Dheweke njerit sora.
"Kembalilah kesini, Dewi!","Dewi Ayu, aku njaluk pangapura."
Aku cinta kepada kamu.,Aku tresna marang sliramu.
"Sang Prabu berteriak keras, suaranya bergema terdengar sampai kemana-mana.","Sang Prabu nggembor sora, swarane andhul krungu tekan ngendi-ngendi."
Tapi semua itu tidak bisa merubah keadaan.,Nanging kabeh mau ora bisa ngowahi kahanan.
Menyesali masalah yang sudah lewat tidak ada gunanya lagi.,Nggetuni perkara sing wis kliwat ora ana gunane maneh.
Pelan-pelan matahari kelihatan semakin tinggi menemani ombak laut yang tanpa berhenti.,Alon-alon srengengene katon sansaya dhuwur ngancani ombak segara sing tanpo mandheg.
Prakata.,Cecala.
Dongeng-dongeng bahasa Jawa ini banyak sekali jumlahnya.,Dongeng-dongeng basa Jawi punika kathah sanget cacahipun.
Untuk itu sayang kalau sampai hilang dan tidak dapat diwariskan kepada anak-anak.,Awit punika eman menawi ngantos ical lan boten saged kawarisaken dhumateng lare-lare.
"Lebih-lebih, saat ini, anak-anak sudah tidak mmendapatkan pelajaran yang cukup tentang bahasa dan sastra Jawa oleh keluarga.","Langkung-langkung, ing wekdal samangke, lare-lare sampun boten pikantuk wucalan ingkang cekap ing babagan basa lan sastra Jawi dening keluarga."
Sudah banyak diketahui bahwa dongeng bahasa Jawa ini mengandung arti dan pelajaran yang bagus.,Sampun kasumerepan ing ngakathah dene dedongengan Jawi punika ngemu teges lan piwucal sae.
Maka dari itu sudah sewajarnya bila dongeng itu dilestarikan dengan ditulis kembali.,Mila sampun laras menawi dedongengan wau dipunlestantunaken kanthi cara kaserat malih.
"Supaya sesuai dengan keadaan anak-anak zaman sekarang, dongeng tersebut bisa dijabarkan lagi dengan disesuaikan zaman sekarang.","Amrih cundhuk kaliyan kawontenanipun lare-lare ing samangkake, dados dedongengan wau lajeng kababar malih kanthi sesrepan enggal."
"Tujuannya, supaya arti dari dongeng bisa sebagai contoh, tata krama, dan budi pekerti dapat dipelajari oleh anak-anak.","Ancasipun, supados suraosing dedongengan kadosta tepa-palupi, tata krama, saha budi pekerti saged dipunsinau dening lare-lare."
Anak Dari Dhadhapan,Bocah Saka Dhadhapan.
Di suatu desa ada seorang janda yang dipanggil Randha Dhadhapan.,Ing sawijining desa ana randha katelah Randha Dhadhapan.
Setiap hari dia berjualan di pasar.,Saben dinane dheweke bebakulan ana ing pasar.
Jadi penjual kecil seperti dirinya itu maka jualannya tidak menentu.,Dadi bakul cilik lan sekeng kaya dheweke iku insane mung taberi.
"Disamping itu, dia tidak pernah mengeluh karena segala sesuatu diserahkan kepada Tuhan.","Kejaba kuwi, dheweke ora tau sambat karana dheweke tansah masrahake sakabehing uripe marang Pangeran."
"Karenanya, hatinya selalu sabar dan tawakal.","Mulane, atine tansah padhang."
Lebih-lebih dia juga selalu dihibur oleh anaknya yang bernama Senggutru.,Luwih-luwih dheweke tansah dilelipur dening anake sing jenenge Senggutru.
"Senggutru bukan sewajarnya anak pada umumnya, karena badannya sangat kecil, sebesar ibu jari ibunya.","Senggutru kuwi ora kaya lumrahe bocah jalaran awake cilik banget, sak jempol tangane simboke."
"Meskipun Senggutru badannya kecil, namun Senggutru sangat disayang oleh ibunya.","Sanadyan awake Senggutru cilik kaya mangkono, Sanggutru banget dieman dening simboke."
"Karenanya setiap ibunya akan berangkat ke pasar, Senggutru disembunyikan, ditutupi tempurung.","Mula yen wanci Mbok Randha lunga menyang pasar, Senggutru didhelikake, ditutupi beruk."
Pagi itu seperti biasa ketika ibunya akan pergi ke pasar ibunya selalu berpesan kepada anaknya tersebut.,Esuk kuwi Mbok Randha kaya adat sabane yen arep lunga pasar mesthi wanti-wanti marang anake mau.
"Senggutru, jangan nakal ya, ibu mau pergi ke pasar.","Senggutru, aja nakal ya, simbok arep nyang pasar."
Nanti dibelikan oleh-oleh.,Mengko daktukokake oleh-oleh.
Ucap Mbok Randha sambil mengelus anaknya.,Wuwuse Mbok Randha karo ngaras anake.
"Iya, Ibu.","Iya, Mbok."
Pesan ibu selalu kupatuhi.,Wantine Simbok tansah dakugemi.
"Sudah, sekarang kamu masuklah ke dalam tempurung.","Wis, saiki kowe ndhelika ing jeron beruk."
Tempurung mau ditutup.,Beruk arep daktutup.
"Kamu ketahuilah, sekarang sedang ada bahaya karena ulahnya Buta Ijo.","Kowe mangertiya, yen saiki lagi ana mamala jalaran pokale Buta Ijo."
Buta suka berbuat kerusakan dan memakan manusia.,Buta mau seneng gawe karusakan lan nguntali jalma manungsa.
Ibu jangan khawatir.,Simbok aja kuwatir.
Aku tidak takut.,Aku ora wedi.
"Setelah saling berbicara, Senggutru diberi tempat yang aman lalu ditutup tempurung.","Bubar kandha mangkono iki, Senggutru tumuli diwenehake papan kang aman lan ditutupi beruk."
Mbok Randha Dhadhapan kemudian berangkat ke pasar.,Mbok Randha Dhadhadapan terus lunga menyang pasar.
"Ringkas cerita, Buta Ijo masuk ke desa Mbok Randha Dhadhapan.","Kocapa, Buta Ijo mlebu ing desane Mbok Randha Dhadhapan."
"Desa tersebut sudah sepi, karena penduduknya sudah mengungsi ke tempat lain setelah mendengar Buta Ijo masuk ke desa tersebut.",Desa kuwi banjur dirusak karana ing kono wong-wonge wus padha ngungsi bareng krungu Buta Ijo tekan ing papane.
Buta Ijo merasa kecewa karena tidak menemukan sesuatu yang bisa dimakan.,Buta Ijo kang kaluwen mau gela jalaran ora ana sing bakal diuntal.
"Setelah mengobrak abrik untuk mencari makanan dan tidak juga ditemukan, Buta Ijo kemudian masuk kerumah Mbok Randha.","Sawuse mosak masik golek untalan meksa ora nemokake, Buta Ijo banjur mlebu omaha Mbok Randha."
Di sana Buta Ijo juga tidak menemukan makanan.,Ing kono Buta Ijo uga ora oleh untalan.
Rumah kemudian di obrak abrik hingga rusak.,Omah banjur diobrak-abrik nganti rusak.
"Tak disangka, tempurung persembunyian Senggutru tidak sengaja tersandung Buta Ijo.","Ndilalah, papan pandhelikane Senggutru kanthi ora kasengaja ketendhang Buta Ijo."
"Setelah Buta Ijo melihat Senggutru, tanpa basa-basi lagi anaknya Mbok Randha itu langsung ditelan.","Bareng Buta kuwi werung Senggutru, ora kanthi tawa-tawa maneh anake Mbok Randha iku banjur diuntal malang."
"Kemudian, betapa kagetnya si Buta Ijo karena perutnya terasa sakit-sakitan.","Nanging, iba kagete si Buta Ijo nalika wetenge karasa muleg-muleg."
Ampun! Ampun! Kenapa badanku kok mendadak terasa sakit.,Tobat! Tobat! Kenangapa awakku iki kok dadakan krasa lara.
Keluhnya Buta Ijo sambil berguling di lantai.,Sambate Buta Ijo karo gulung koming.
"Tak lama kemudian, Buta Ijo jatuh terkapar.","Ora gantalan wektu, Buta Ijo banjur tiba nyekakar."
Dari perutnya keluar Senggutru.,Saka wetenge metu Senggutru.
"Setelah orang-orang bubar dari pasar, Mbok Randha Dhadhapan pulang ke rumanya.","Wancine wong bubar pasar, Mbok Randha Dhadhapan tumuli mulih menyang omahe."
Oleh-oleh kegemaran Senggutru sudah dibeli.,Oleh-oleh senengane Senggutru wis dituku.
"Dengan rasa syukur, dirinya melangkah ringan.","Kanthi kebak ing paturnuwun, dheweke jumangkah enteng."
"Setelah sampai di pelataran rumahnya, Mbok Randha kaget sekali melihat ada bangkainya Buta Ijo.","Bareng tekan ing plataran omahe, Mbok Randha kaget banget meruhi ana bangkene Buta Ijo."
Hatinya jadi khawatir mengingat anaknya yang ditinggal di rumah.,Atine dadi kuwatir yen ngelingi anake kang ditinggal ing ngomah.
Dengan cepat ia memasuki rumah.,Mula enggal mlebu omah.
"Ibu, jangan khawatir.","Simbok, aja kuwatir."
"Saya tidak apa-apa kok, Bu! Ucap Senggutru sambil menyambut kedatangan ibunya.","Aku ora apa-apa kok, Mbok! Celathune Senggutru karo methukake tekane simboke."
"Dhuh, Tuhan, terima kasih banyak anak hamba selamat! Ucapnya Mbok Randha sambil mengelus anaknya, ""Bagaimana ceritanya kok kamu tidak diganggu dan ditelan si Buta Ijo itu, Tru?""","Dhuh, Gusti, matur nuwun sanget dene anak kula wilujeng! Pocape Mbok Randha karo ngarasi anake, ""Kepriye caritane kok kowe ora diganggu lan diuntai dening si Buta Ijo kuwi, Tru?""."
"Awalnya aku malah sudah ditelan dirinya, Bu.","Mulane aku malah wis diuntai dening dheweke, Mbok."
"Tapi, sebelum Ibu menyembunyikan saya di dalam tempurung, saya sudah membawa pisau.","Nanging, sadurunge simbok ndhelikake aku ing njeron beruk, aku wus sangu peso."
"Setelah raksasa itu bisa menemukan saya, dirinya kemudian menelan saya.","Bareng Buta Ijo iku bisa nemokake aku, dheweke trus nguntal aku."
"Sampai di dalam perut, ususnya Buta Ijo saya iris sampai putus.","Ana ing njeron weteng, ususe Buta Ijo dakkekreki nganti padha tugel."
Lalu? Sela ibunya sambil bimbang.,Terus? Pamunggele simboke kanthi bombong.
Lalu saya memotong perutnya.,Terus aku ndhedhel wetenge.
Saya kemudian keluar dan selamat.,Aku banjur metu lan tinemu slamet.
Mbok Randha Dhadhapan mengangguk-angguk setelah mendengar cerita anaknya seperti itu.,Mbok Randha Dhadhapan manthuk-manthuk kalegan krungu critane anake kaya mangkono mau.
Dirinya tidak menyangka Senggutru punya kelebihan dalam hal keberanian dan kepintaran.,Dheweke ora ngira yen Senggutru duwe kaluwihan ing bab kakendelan lan kapinteran.
"Bu, walau saya kecil seperti ini, si Buta Ijo lalu meremehkan saya.","Mbok, dumeh aku cilik kaya ngene, si Buta Ijo banjur ngremehake marang aku."
"Memang aku tidak punya kekuatan seperti Buta Ijo, tapi Buta Ijo tidak punya nalar yang pandai seperti saya.","Pancen aku ora duwe kekuatan kaya Buta Ijo, nanging Buta Ijo ora duwe nalar sing lantip kaya aku."
Karena besar saja lalu meremehkan kepada orang kecil.,Dumeh gedhe aja banjur ngremehake karo jalma cilik.
"Benar semua katamu, Tru.","Bener kabeh kandhamu, Tru."
Karena kecil lalu di sepelekan.,Kepara dumeh cilik banjur sok disepelekake.
Itu tidak benar.,Kuwi ora bener.
Matinya Buta Ijo jadi pembicaraan orang di sekitar Mbok Randha.,Matine Buta Ijo dadi pocapane wong ing sakiwatengene Mbok Randha.
Semua-semua memuji kepandaian Senggutru.,Kabeh-kabeh padha ngalem marang Senggutru.
Tetangga sekitar keheranan Senggutru bisa mengalahkan Buta Ijo.,Tangga Teparo padha cingak dene Senggutru bisa ngalahake Buta Ijo.
Waktu terus berlalu tanpa isa ditunda.,Wektu terus lumaku tanpa bisa dipenggak.
Senggutru semakin tumbuh besar seperti normalnya anak.,Senggutru saya mundhak gedhe kaya lumrahe bocah.
"Setelah menginjak dewasa, Senggutru jadi anak perempuan yang cantik.","Bareng ngancik diwasa, Senggutru dadi bocah wedok kang sulistya ing warna."
Wajahnya cantik mempesona.,Rupane ayu nengsemake.
Maka tidak mengherankan banyak pada pemuda yang ingin jadi suaminya.,Mula ora mokal akeh para mudha kang kepengin dadi jatu kramane.
Namun yang bisa menjadi suaminya bukan salah satu para lelaki tadi.,Nanging kang bisa mengku dheweke pungkasane dudu salah sijine para mudha mau.
"Senggutru dipinang menjadi istri oleh pangeran dari Jenggala Manik, yakni Raden Panji.","Senggutru dipundhut garwa dening raja putra ing Jenggala Manik, yaiku Raden Panji."
Dirinya kemudian diangkat menjadi permaisuri dengan nama Chandra Kirana.,Dheweke banjur disengkakake dadi garwa prameswari kanthi asma Chandra Kirana.
Kini ibunya dimuliakan di kraton.,Dene simboke dimuktekake ing kraton.
"Meskipun Senggutru sudah memiliki nama baru dan jadi permaisuri ratu, namun dirinya selalu berbakti kepada ibunya.","Sanadyan saiki Senggutru wus duwe jeneng anyar lan dadi garwa prameswarine ratu, nanging dheweke tansah ngabekti marang simboke."
Dirinya merasa senang memiliki orang tua yang meyayanginya.,Dheweke rumangsa seneng dene duwe wong tua kang nresnani.
Putri Arum Dalu,Putri Arum Dalu
Jaman dahulu ada seorang raja yang senang bertindak semaunya.,Jaman biyen ana sawijining ratu kang seneng tumindak durangkara.
Raja itu berada di kerajaan Pepeteng.,Ratu mau ngedhaton ing kraton Pepeteng.
Raja tersebut bernama Candhala.,Ratu kasebut asmane Candhala.
Raja Candhala sudah terkenal perilakunya senang bertindak sewenang-wenang kepada rakyatnya.,Ratu Candhala wus kawentar anggone seneng tumindak sawenang-wenang marang kawulane.
"Disamping itu, raja juga terkenal pelitnya.","Kejaba kuwi, ratu mau uga kawentar medhite."
Jadi tidak aneh jika rakyat di wilayah kerajaan Pepeteng selalu susah hidupnya.,Mula ya ora aneh menawa kawula ing wewengkon kraton Pepeteng satemene padha tansah susah uripe.
Lebih-lebih setelah raja Candhala membuat peraturan kepada rakyatnya agar membayar pajak tidur.,Luwih-luwih saluse ratu Candhala gawe titah marang kawulane supaya mbayar pajek turu.
Setiap rakyat di wilayah kerajaan Pepeteng harus membayar pajak setelah bangun tidur.,Saben kawula ing wewengkon kraton Pepeteng kudu mbayar pajek sawuse tangi turu.
"Barang siapa yang tidak membayar pajak tidur, raja itu kemudian menyuruh utusan prajurit agar rakyat yang tidak membayar pajak tidur itu dihukum dengan tidak boleh tidur di malam hari.","Marang sapa kang ora mbayar pajek turu, ratu iku banjur tumuli utusan prajurit supaya kawula kang ora mbayar pajek turu iku kapidana kanthi ora oleh turu ing wangci bengi."
"Karena diharuskan membayar pajak tidur, mulai banyak rakyat di wilayah kerajaan Pepeteng kemudian sengsara hidupnya.","Jalaran kudu mbayar pajek turu, mula akeh para kawula ing wewengkon kraton Pepeteng banjur kesrakat uripe."
Uangnya hanya habis untuk membayar pajak tidur.,Dhuwite mung entek kanggo mbayar pajek turu.
Jadi sudah sewajarnya bila rakyat raja Candhala banyak yang pindah pergi ke kerajaan lain.,Dadi ya wus jamak lumrahe yen kawulane ratu Candhala banjur padha pindah menyang negara liya.
Tindakan raja Candhala semakin hari semakin menjadi.,Tumindake ratu Candhala saya dina saya ndadra.
"Sebaliknya, anak raja Candhala yang bernama Putri Arum Dalu sangat prihatin.","Tundhone, putrane ratu Candhala kang apeparab Putri Arum Dalu banget anggone prihatin."
Sebenarnya sang putri sangat tidak setuju dengan tindakan sang ayah.,Satemene sang putri banget anggone ora sarujuk karo tumindake sang rama.
Lebih-lebih dirinya itu merupakan anak satu-satunya yang akan mengganti singgasana ayahnya.,Luwih-luwih dheweke kuwi sawijining putra ontang-anting kang bakal nggenti keprabone ramane.
"Sejak saat itu, dengan sembunyi-sembunyi setiap hari sang putri pergi dari kerajaan bermaksud membantu rakyat yang sedang susah.","Awit saka iku, kanthi sesidheman saben dina sang putri banjur metu saka kraton saperlu asung bebantu marang para kawula kang nadhang susah."
Tujuannya agar rakyat kerajaan Pepeteng jangan terus-menerus hidup sengsara.,Pamrihe supaya kawula kraton Pepeteng aja katerus-terus anggone sengsara.
"Dengan mengikhlaskan hati, Putri Arum Dalu memberi obat kepada orang yang sedang sakit, menghibur pada rakyat yang sedang kesusahan.","Kanthi eklasing ati, Putri Arum Dalu manehi obat marang wong kang lagi lara, nglipur marang kawula kang lagi nandhang kapitunan."
Tuhan kemudian memberikan anugrah kepada Putri Arum Dalu lewat keringatnya yang harum baunya.,Gusti banjur paring berkah marang Putri Arum Dalu kumantar kringete kang arum ambune.
Lebih-lebih pada saat malam ketika sang putri tertidur.,Luwih-luwih yen wayah wengi nalikane sang putri sare.
"Dari kamarnya, bau harum tersebar sampai kemana-mana.","Saka kamare, ganda arum sumebar mratah tekan ngendi-endi."
"Karenanya, dirinya kemudian dipanggil Putri Arum Dalu.","Tundhone, dheweke banjur katelah Putri Arum Dalu."
"Artinya, putri yang berbau harum di waktu malam.","Tegese, putri kang gandane arum pinuju wayah wengi."
"Sesungguhnya, nama aslinya Dewi Madu.","Satemene, asma asline Dewi Madu."
"Raja Candhala meskipun terkenal dengan kejelekan tindakannya kepada rakyatnya, namun sangat amat sayang kepada Putri Arum Dalu.","Ratu Candhala sanajan kawentar elek tumindake marang kawulane, nanging banget anggone tresna marang Putri Arum Dalu."
"Saking sayangnya, sang putri kemudian tidak diperbolehkan berhubungan dengan para rakyat.","Saking tresnane, sang putri banjur ora dikeparengake sesambungan karo para kawula."
Keadaan ini meyebabkan ketidaksenangan sang putri.,Kahanan iki mesthi bae ora dadi renane sang putri.
Sang putri berfikir bahwa kecintaan ayahnya itu keliru.,Sang putri rumangsa yen katresnane ramane kuwi kleru.
Hingga tidak diperkenankan berhubungan dengan para rakyat itu sama dengan membeda-bedakan.,Kanthi ora dikeparengake sesambungan karo para kawula kuwi padha karo mbedak-bedakake.
Padahal membeda-membedakan satu dengan lainnya itu perilaku jelek.,Kamangka mbedak-bedakake siji lan sijine kuwi tumindak elek.
"Pada suatu hari, Putri Arum Dalu kabur dari kerajaan.","Ing sawijining dina, Putri Arum Dalu lolos saka kraton."
Kaburnya Putri Arum Dalu diakrenakan sudah tidak bisa membiarkan tindakan ayahnya.,Lolose Putri Arum Dalu jalaran wus ora bisa ngenengake maneh marang tumindake ramane.
Putri Arum Dalu menyadari setiap hari raja Candhala semena-mena terhadap rakyatnya semakin menjadi-jadi.,Putri Arum Dalu mawas yen saya dina ratu Candhala anggone sewiyah-wiyah marang para kawulane saya kebanget-banget.
"Kaburnya dari kerajaan, Putri Arum Dalu ditemani pembantunya seorang.","Lolose saka kraton, Putri Arum Dalu dikantheni embane siji."
"Disamping itu, sang putri saat kabur membawa uang dua karung banyaknya.","Kejaba kuwi, sang putri anggone lolos nggawa dhuit rong karung akehe."
Para rakyat tidak mengetahui bahwa Putri Arum Dalu berkeliling desa karena dirinya menyamar menyerupai anak laki-laki seperti rakyat pada umumnya.,Para kawula ora mangerteni yen Putri Arum Dalu njajah desa melangkori jalaran dheweke nyamar memba-memba bocah lanang lumrahe para kawula.
"Setiap bertemu ada rakyat yang kesusahan, dirinya cepat memberikan pertolongan.","Saben pirsa ana kawula kang kacingkrangan, dheweke enggal paring pitulungan."
Begitu seterusnya.,Mengkono sateruse.
"Ketika Putri Arum Dalu dan pembantunya sampai di sebuah desa di lereng gunung, dirinya melihat ada seorang prajurit sedang menghajar seorang rakyat.","Nalika Putri Arum Dalu lan embane tekan ing sawijining desa ing perenging gunung, dheweke pirsa ana sawijining prajurit lagi milara sawenehing kawula."
